party,phase,total_tweets,positive_ratio,ci_lower,ci_upper
democrat,Biden Campaign,13102406,0.43360188960714546,0.43333356811843315,0.4338702500314403
democrat,Harris Campaign,10052877,0.4297203676121771,0.4294143759523313,0.4300264129852301
democrat,Post-Election,3233731,0.44029883747287574,0.4397578355419775,0.44083998125089324
republican,Biden Campaign,3764801,0.5065574515093892,0.506052414455536,0.5070624751808194
republican,Harris Campaign,4219004,0.5221016619088297,0.5216249955092117,0.5225782880592954
republican,Post-Election,1439933,0.5870453694720518,0.5862409237218076,0.5878493507665203
